experiment,market_type,parameter_value,avg_volume,std_volume,corr_volume_abs_return,avg_abs_return
Experiment 1,Unlimited wealth,baseline,5015.259272159244,405.3639874587685,-0.0326755041405316,0.0019442650580295524
Experiment 2,Wealth constrained,0.5,3750.252405176931,309.1562776111369,-0.03780481919658188,0.002665250954831252
Experiment 2,Wealth constrained,1.0,4318.9716260394125,330.34409146000996,-0.031165147114592603,0.0025984401991140465
Experiment 2,Wealth constrained,2.0,4678.018471777616,346.5752210579576,-0.04352724737194044,0.002493388280032096
Experiment 2,Wealth constrained,5.0,4949.484162492075,345.0363915435254,-0.048159896491706405,0.002452251174902612
Experiment 2,Wealth constrained,10.0,5028.507867064353,341.58999173013234,-0.03446977713864218,0.002446454144252228
Experiment 3,Market depth,20,501.54455203831003,101.66940088025054,-0.009341369610010242,0.006077530193030203
Experiment 3,Market depth,50,1258.0121550809458,161.50695784929655,-0.01127187517581182,0.003869681422731312
Experiment 3,Market depth,100,2519.4904384969936,229.95603229518667,-0.009771590142342548,0.0027089241783707866
Experiment 3,Market depth,200,5045.108158658532,322.7999869980857,-0.0029601336061660546,0.001915092081198991
Experiment 3,Market depth,500,12621.392649793754,508.37733527281387,0.00787124733431417,0.0012235473053773748
Experiment 3,Market depth,1000,25244.68404261399,724.6660152205012,-0.001655575135889362,0.0008490314322051472
Experiment 3,Market depth,5000,126264.61116315758,1612.3980857305212,0.0069626787450610145,0.00038546710645160606
