constraint_type,constraint_label,wealth_multiplier,n_runs,mean_beta,std_beta,beta_ci_lower,beta_ci_upper,mean_log_deviation_variance,mean_price_variance,mean_return_volatility,mean_final_price
buyer_cash_only,Buyer cash only,0.5,100,-0.002997091944913585,0.0003188992183948816,-0.003059596191718982,-0.0029345876981081882,0.2928214276131574,484.6051727864887,0.0036385945534118834,14.846119834178863
buyer_cash_only,Buyer cash only,1.0,100,-0.0014005904719757293,0.00036721998871603424,-0.001472565589764072,-0.0013286153541873867,0.15525580785262838,462.2081431480455,0.003235655316876692,27.14179278359567
buyer_cash_only,Buyer cash only,2.0,100,0.00036806024685065843,0.0005460370199365697,0.0002610369909430908,0.00047508350275822606,0.055567479382117604,284.7938202155902,0.003115082386485,47.72015175128197
buyer_cash_only,Buyer cash only,5.0,100,0.0018115415716105838,0.0027393593628533253,0.001274627136491332,0.0023484560067298355,0.0033856613567084344,29.24170530712074,0.003078104434727672,84.7440026718593
buyer_cash_only,Buyer cash only,10.0,100,-0.010381589093670969,0.00941018110021874,-0.012225984589313841,-0.008537193598028096,0.0007455233456728786,7.582107802404417,0.0030744627824147823,99.29633412817711
seller_inventory_only,Seller inventory only,0.5,100,0.00024732515297819593,0.00013152920837849804,0.0002215454281360103,0.0002731048778203815,1.9641859263395105,8384677.320185303,0.003484078312392323,11576.817196462955
seller_inventory_only,Seller inventory only,1.0,100,0.000693074449623875,0.0002040627445384056,0.0006530781516943476,0.0007330707475534025,0.5820523523388682,102823.90444724573,0.003338158163607483,1258.2189086431006
seller_inventory_only,Seller inventory only,2.0,100,0.0015556473221358883,0.00038021331089344663,0.001481125513200773,0.0016301691310710038,0.12067160380299388,3705.3028933197593,0.003202331064623481,303.76781711675693
seller_inventory_only,Seller inventory only,5.0,100,0.0015058523777213145,0.0035020269287729285,0.0008194550996818205,0.0021922496557608088,0.003615746617145391,43.14418412150364,0.003093480811052197,118.52074279732331
seller_inventory_only,Seller inventory only,10.0,100,-0.009349556344642403,0.007774239538826651,-0.010873307294252427,-0.00782580539503238,0.0008652013179845778,8.610392921356839,0.003071519760854332,100.16003506409997
both_constraints,Both constraints,0.5,100,-0.01907749864797927,0.009754022624771657,-0.020989287082434513,-0.017165710213524026,0.0003441148261498105,3.4117096372752598,0.0033402345874457046,99.52922679626367
both_constraints,Both constraints,1.0,100,-0.014006638223422479,0.01016270211712315,-0.015998527838378615,-0.012014748608466342,0.0004989875520429619,4.971449940232317,0.003229131475557788,99.94224658569756
both_constraints,Both constraints,2.0,100,-0.01118500633658865,0.009464418269780481,-0.013040032317465625,-0.009329980355711675,0.0006882413920598125,6.786958510395481,0.0031253512847043397,99.43807263323984
both_constraints,Both constraints,5.0,100,-0.010071474199272209,0.00831850214536421,-0.011701900619763594,-0.008441047778780823,0.0007889934552743997,7.77678074212006,0.0030772749654229435,99.72403617789371
both_constraints,Both constraints,10.0,100,-0.010115136544121914,0.008116218759814407,-0.011705915421045538,-0.008524357667198291,0.000734360914513945,7.421795316550575,0.0030671363055770513,99.91502102777699
